names,budget_x,revenue,score_scaled,budget_x_scaled,revenue_scaled,year_scaled,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_Unknown,genre_War,genre_Western,lang_ Chinese,lang_ English,lang_ French,lang_ German,lang_ Italian,lang_ Japanese,lang_ Korean,"lang_ Spanish, Castilian",lang_Other,country_ES,country_FR,country_GB,country_HK,country_IT,country_JP,country_KR,country_Other,country_US,status_ Post Production,status_ Released
Breaking,72000000.0,318039059.2,0.16666666666666666,0.24293286219081273,0.40506093977796276,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Tetris,172000000.0,594334899.0,1.0833333333333333,1.3471731448763251,1.1087661496113979,0.5555555555555556,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
65,45000000.0,56072012.0,-0.16666666666666666,-0.055212014134275615,-0.2621498877638619,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Thor: Love and Thunder,241400000.0,760928081.0,0.08333333333333333,2.1135159010600706,1.5330667477709279,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Arctic Void,147200000.0,872776677.4,-1.5,1.073321554770318,1.8179369074382294,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Terrifier 2,250000.0,12964783.0,0.3333333333333333,-0.5493595406360424,-0.3719408337684819,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
John Wick,30000000.0,75958800.0,0.75,-0.22084805653710246,-0.21149969942739227,0.05555555555555555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Spider-Man: No Way Home,200000000.0,1011696957.05,1.25,1.6563604240282686,2.1717566559077928,0.4444444444444444,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
R.I.P.D. 2: Rise of the Damned,52000000.0,539054106.6,0.08333333333333333,0.022084805653710248,0.9679700317843624,0.5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Dolphin Boy,115000000.0,489779661.0,0.0,0.717756183745583,0.8424716380862384,0.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Guillermo del Toro's Pinocchio,35000000.0,81567666.2,1.4166666666666667,-0.16563604240282687,-0.19721432919143164,0.5,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
A Frozen Rooster,113880000.0,604874932.2,1.1666666666666667,0.7053886925795053,1.135610839998435,0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
Dragon Ball Super: Super Hero,43602530.2,86562140.0,1.1666666666666667,-0.07064343860424024,-0.18449377127068733,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nocebo,112000000.0,586323916.4,-0.16666666666666666,0.6846289752650176,1.0883627653418928,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Hex,117480000.0,457839055.6,-0.3333333333333333,0.7451413427561837,0.7611212621939194,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Medieval,23000000.0,4311284.0,0.5833333333333334,-0.29814487632508835,-0.3939806601154743,0.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Barbie: Skipper and the Big Babysitting Adventure,134400000.0,716009340.2,0.6666666666666666,0.9319787985865724,1.4186620142686117,0.5555555555555556,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Super Mario Bros.,42000000.0,20844907.0,-1.8333333333333333,-0.08833922261484099,-0.35187073674151437,-1.1111111111111112,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Transfusion,104580000.0,260353036.4,-0.08333333333333333,0.6026943462897526,0.2581388767881084,0.5555555555555556,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jurassic World Dominion,165000000.0,1001978080.0,0.3333333333333333,1.2698763250883391,2.147003389920269,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
The Boss Baby: Christmas Bonus,51000000.0,455134472.8,0.25,0.011042402826855124,0.7542328884559595,0.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Shazam!,85000000.0,363563907.0,0.4166666666666667,0.38648409893992935,0.5210093832902642,0.3333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
